model,accuracy,precision,recall,f1-score
naive bayes,0.9553508976451387,0.9778539092132632,0.9317943336831059,0.9542686567164179
logistic regression,0.9814642107717416,0.9791159067177166,0.9839104582021686,0.9815073272854152
